,id,market,maturity
0,0xded289a6f761ddee825f915048efadefcbb1d3d9c11d36c793558192eeb2f75f,BinanceBTCUSDT Funding,2025-07-25
1,0xf9d1aa22d78925efc9850a38dea62b894b2609a563e21f22e7321c0fec507872,BinanceBTCUSDT Funding,2025-08-29
2,0xd3aa0e4606a0f89e3af376f5492f38f527b3feac9c51e2b1bc46685d9cd7c16b,BinanceETHUSDT Funding,2025-07-25
3,0xd64e23ced32b015386d436971ebbe0d277108519c99cd31d8ca146636601ec4f,BinanceETHUSDT Funding,2025-08-29
4,0x768b2bc192e40a83f6115a07654d2f6774f6a6cf5267c32ef8efc1a7620d835b,OKXBTCUSDT Funding,2025-07-25
5,0xea33893797a99df16a7241d62a4bc5dd6ff8ac1a9f96b3b34973b1081776d021,OKXBTCUSDT Funding,2025-08-29
6,0x9db316545a09382dc73e6de25b36a4a938eb08b3a69e08f48bb1df0a21a00f42,OKXETHUSDT Funding,2025-07-25
7,0x8bcaaecdad8b53a19a2e7c34ab3a02c3004a9acaae5697c73d5024fc47f1d1c2,OKXETHUSDT Funding,2025-08-29
8,0x96dcd29de995884fe8c0d2723c2d1f2b364819d9b35d7f5840a7405f43e868a3,CoinDesk IndicesCESR,2025-09-26
9,0x177c9d3564d81516826246c8302c68913f1e139716d2f20beccd849aac2c8c98,BybitBTCUSDT Funding,2025-07-25
10,0x2a5178b3eb6f43f52ab0bbd9d67f55f8bb4cfd901c1d1b259654d9dab2fdb226,BybitBTCUSDT Funding,2025-08-29
11,0xd940594b3ffc8a076dd5566dae88ca17f5b638f97ea1ad52350accaeac25c5d0,BybitETHUSDT Funding,2025-07-25
12,0xdec6434eace5a131d6f2243b2485038493a02063e7211b008352b35395854244,BybitETHUSDT Funding,2025-08-29
